pid,title,link,responsible,activity,sector,cost M€,cost MDT,governorate,context,detail,impact,financialarrangment,image_urls,images
4150,مفرخ لانتاج يرقات الأسماك,http://tunisia2020.com/ar/projet/%d9%85%d9%81%d8%b1%d8%ae-%d9%84%d8%a7%d9%86%d8%aa%d8%a7%d8%ac-%d9%8a%d8%b1%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%a3%d8%b3%d9%85%d8%a7%d9%83-5/,,الفلاحة,خاصّ,14,35,المهدية,"معلومات أساسية  
                                 نقص في كميات اليرقات المنتجة محليا  وارتباطها الوثيق بالتوريد مما يهدد نشاط المشاريع المنتصبة حاليا بطاقة إنتاج جملية تقدر بـ 25 ألف طن مما تستوجب  توفير حوالي 110 مليون برقة. 
تدني في جودة الاصبعيات الموردة وامكانية ادخال أمراض تضر بالمخزونات السمكية.","الوصف  
                                 ""إحداث مشروع  إنتاج يرقات أسماك القاروص  والوراطة ومن أهم  مكوناته: 
بناء مفرخ بطاقة انتاج 50 مليون يرقة 
تركيز محطة لجلب مياه البحر 
بناء مخبر  ووحدة لمناولة المنتوج وتجهيزها","النتائج المتوقعة  
                                 ادخال التكنولوجيا و التقنيات الحديثة لإنتاج يرقات بجودة عالية 
المساهمة في تقليص استيراد اليرقات 
تحسين تزويد السوق  
خلق مواطن شغل  بالجهة","الجهة المالية   
                                 الباعث في طور البحث على شراكة  ومؤسسات تمويل أجنبية.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/115-Ecloserie.jpg', 'path': 'full/e209582a6653dd88f3544e6871f6531dd76f6f94.jpg', 'checksum': '1ccdd71102b8320060212e98a3e82bfb'}]"
4085,وضع منظومة مندمجة لتسيير الإدارة,http://tunisia2020.com/ar/projet/%d9%88%d8%b6%d8%b9-%d9%85%d9%86%d8%b8%d9%88%d9%85%d8%a9-%d9%85%d9%86%d8%af%d9%85%d8%ac%d8%a9-%d9%84%d8%aa%d8%b3%d9%8a%d9%8a%d8%b1-%d8%a7%d9%84%d8%a5%d8%af%d8%a7%d8%b1%d8%a9/," 
وزارة تكنولوجيا الاتّصال والاقتصاد الرّقمي",تكنولوجيا المعلومات,عامّ,40,100,"   أريانة, القصرين, القيروان, الكاف, المنستير, المهدية, باجة, بن عروس, بنزرت, تطاوين, توزر, تونس, جندوبة, زغوان, سليانة, سوسة, سيدي بوزيد, صفاقس, قابس, قبلي, قفصة, مدنين, منوبة, نابل","معلومات أساسية  
                                  يجب على الإدارة التطور في إطار تحقيق النجاعة، المصداقية وتسارع التدفقات وذلك لتحسين الخدمات المقدمة للمواطنين. 
لا تسمح التطبيقات الحالية للدولة بتنفيذ أهداف رقمنة الإدارة (OpenGov، توفر المعلومة في وقتها). 
هذه التطبيقات تفتقر إلى التشغيل المتبادل ولا تتطابق مع المعايير الحالية. وبالإضافة فهي غير ملائمة للتطور التكنولوجي (ساس، كلود...). 
وفي هذا الإطار، تم وضع منظومة مندمجة لتسيير الإدارة  يشمل في مرحلة أولى استبدال تطبيقات وزارة المالية ضمن إطار التكامل، السلامة المعلوماتية، النجاعة  والشفافية.","الوصف  
                                 يهدف المشروع إلى تمكين الدولة من وضع منظومة مندمجة لتسيير الإدارة وفقا للنهج التالي: 
دراسة الأولوية 
جمع المتطلبات الوظيفية 
المواصفات الفنية والتقنية 
تنفيذ الحل 
الاختبار، التكوين وبدء الانتاج 
الصيانة والدعم 
الهدف النهائي هو تحقيق وضع المنظومة المندمجة للتسيير","النتائج المتوقعة  
                                 تحسين كفاءة التسيير الإداري 
وضع المواطن والمؤسسة ضمن اهتمام الإدارة 
توفر أداة لإدارة ودعم اتخاذ القرار لتسيير إدارة الموارد 
ضمان قابلية التشغيل البيني للخدمات الحكومية 
إدارة في نفس الوقت الميزانية، التعويض، الضرائب وإدارة الموارد البشرية 
تغطية متطلبات العمل الحالية وضمان إمكانية تطوير التطبيق 
خلق  1000 فرصة عمل خلال 3 سنوات، وتحسين رأس المال للشركات التونسية في قطاع NTIC","الجهة المالية   
                                 تقدر تكلفة المشروع بـ 100 مليون دينار على 5 سنوات: 
مرحلة الدراسة: 20 مليون دينار 
مرحلة التنفيذ: 65 مليون دينار 
مرحلة الإصلاح والدعم: للتحديد 
صندوق تنمية تكنولوجيا المعلومات والاتصالات/ميزانية الدولة",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/148-ERP.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/148-ERP.jpg', 'path': 'full/0c1d334555bd1c7803478860f03732d395f94c61.jpg', 'checksum': '2f3540a389bec3c457484ad90184ad7c'}]"
4088,حماية وتهيئة سبخة المكنين,http://tunisia2020.com/ar/projet/%d8%ad%d9%85%d8%a7%d9%8a%d8%a9-%d9%88%d8%aa%d9%87%d9%8a%d8%a6%d8%a9-%d8%b3%d8%a8%d8%ae%d8%a9-%d8%a7%d9%84%d9%85%d9%83%d9%86%d9%8a%d9%86/," 
 وكالة حماية وتهيئة الشريط الساحلي",البيئة,شراكة عام خاص,120,300,المنستير,"معلومات أساسية  
                                 تقع سبخة المكنين على منخفض طبوغرافي طبيعي بشكل متوازي الأضلاع بمساحة تقريبيّة 5300 هك، قاعدتها تمثل الضفاف الشرقيّة على طول حوالي 10 كم وعرضها بمعدّل 5 كم.  
جزء من السبخة يقع تحت مستوى سطح البحر (13م)، بينما ضفافها توجد على علوّ تقريبي بـ20م.  
المواصفات الأساسيّة التي تتميّز بها السبخة هي غياب منفذ نحو البحر الذي يبعد 2,5 كلم شرقا. وتتمثل مكونات التهيئة في: 
إحداث مشاريع تربية الأسماك 
إحداث ملاحات لإنتاج مادة الملح","الوصف  
                                 يهدف المشروع إلى: 
المحافظة على السبخة بوصفها منظومة بيئية هامة على مستوى التنوع البيولوجي وحماية المدن من الفيضانات ولمساهمتها في العوامل المناخية التي تساهم في التنمية الفلاحية 
ضرورة تطهير السبخة من مظاهر التلوث وتهيئة وتهذيب ضفافها خاصة على مستوى المناطق المتاخمة للمدن 
تثمين الموارد الطبيعية للسبخة في إطار التنمية المستديمة ببعث: 
مشاريع بيئية تساهم في تحسين جودة الحياة 
بعث مشاريع تنموية ملائمة لخصوصية السبخة","النتائج المتوقعة  
                                 تطهير وتنظيف السبخة 
حماية المنظومة البيئة 
تثمين فضاء السبخة اقتصاديا واجتماعيا","الجهة المالية   
                                 سيتم إنجاز المشروع في إطار الشراكة بين القطاعين العام والخاص.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/151-Sebkha-Moknine.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/151-Sebkha-Moknine.jpg', 'path': 'full/626435b5c01360dd18d852e041cd95fcfbab0e69.jpg', 'checksum': 'b0b6e39cb2e7903bed3f157e65bba574'}]"
4090,البحث عن شركاء لتطوير أنشطة شركة البحيرة للتطهير والاستصلاح والاستثمار,http://tunisia2020.com/ar/projet/%d8%a7%d9%84%d8%a8%d8%ad%d8%ab-%d8%b9%d9%86-%d8%b4%d8%b1%d9%83%d8%a7%d8%a1-%d9%84%d8%aa%d8%b7%d9%88%d9%8a%d8%b1-%d8%a3%d9%86%d8%b4%d8%b7%d8%a9-%d8%b4%d8%b1%d9%83%d8%a9-%d8%a7%d9%84%d8%a8%d8%ad%d9%8a/," 
 شركة البحيرة للتطهير والاستصلاح والاستثمار",البعث العقاري,خاصّ,840,2100,تونس,"معلومات أساسية  
                                 ساهمت شركة البحيرة للتطهير والاستصلاح والاستثمار في مشروع التنمية الحضرية بمنطقة تونس على مساحة 1300 هك.  
حيث قامت الشركة بتطهير البحيرة عبر إدماج النسيج العمراني للمدينة  وتهيئة ما يقارب 500 هك. 
تتميز الشركة بنجاحها في إطار الشراكة بين القطاعين العام والخاص. حيث أصبحت «البحيرة» منطقة سكنية وترفيهية وبالتالي قطب اقتصادي وإداري. 
تدخل الشركة في مرحلة جديدة من التطوير ضمن استراتيجية تهدف لتقديم أفضل لأصولها وذلك عبر تنفيذ مشاريع مبتكرة مع شركاء ماليين وفنيين. 
وفي هذا الإطار، تسعى الشركة إلى توسيع رأس المال المملوك من قبل الدولة ومجموعة البركة السعودية إلى شركاء جدد من أجل تطويرها.","الوصف  
                                 فتح رأس مال الشركة للشركاء لدعم تنميتها وتمكينها من الانخراط في المشاريع الحضرية المماثلة في المنطقة وفي البلاد التونسية عموما، وذلك عبر الاستفادة من الخبرات المكتسبة على مدى أكثر من ثلاثين سنة. 
ترويج مشاريع مبتكرة ومربحة مع الشركاء الفنيين والماليين، لتنفيذها في الجهة الحالية أو في مناطق جديدة من البلاد. 
وقد أجريت دراسة استراتيجية حول تنمية المنطقة في عام 2013 من قبل مجموعة مكاتب دراسات معترف بها دوليا.","النتائج المتوقعة  
                                 حسن استخدام الأراضي المتبقية من أجل توسعة المدينة 
حسن تثمين أصول الشركة 
المساهمة في التحكم الأمثل للتطور الحضري بمدينة تونس 
مردودية أفضل للشركة","الجهة المالية   
                                 استثمارات تهيئة المناطق ذات الأولوية للشركة : 1000 مليون دينار. 
استثمارات المشاريع الجديدة : 1100 مليون دينار 
سيقع تحديد بقية المشاريع مع الشركاء.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/153-SPLT.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/153-SPLT.jpg', 'path': 'full/8d13f0de686f09417167ad995260589bcafe8d32.jpg', 'checksum': 'fa60dc128ed3fe982da32f8112e033ec'}]"
4086,e-Retail,http://tunisia2020.com/ar/projet/e-retail/," 
 وزارة تكنولوجيا الاتّصال والاقتصاد الرّقمي",تكنولوجيا المعلومات,شراكة عام خاص,2,5,"   أريانة, القصرين, القيروان, الكاف, المنستير, المهدية, باجة, بن عروس, بنزرت, تطاوين, توزر, تونس, جندوبة, زغوان, سليانة, سوسة, سيدي بوزيد, صفاقس, قابس, قبلي, قفصة, مدنين, منوبة, نابل","معلومات أساسية  
                                 يهدف eRetail إلى التحكم في مسالك التوزيع من خلال منصة رقمية تجمع بين 25000 من البائعين و10000 من الموزعين. 
يهدف هذا الحل إلى الحد من التجارة الموازية، وتحديث مسالك التوزيع وتحسين قدرات مراقبة السوق. 
سمكن إنشاء منصة eLogistics  من ضمان إمكانية تتبع المنتجات الموزعة في تونس (بما في ذلك المنتجات المدعمة) وتسهيل التفاعل بين المنتجين والموزعين.","الوصف  
                                 يهدف المشروع إلى تصميم منصة   «e-Retail»  مخصصة للتجارة الالكترونية  حسب المنهجية التالية: 
دراسة الأولوية 
تشفير المنتجات (500 ألف منتج) وتوحيد الفواتير 
معالجة المعاملات الالكترونية 
سيتم دمج منتجات الديوان التونسي للتجارة في مرحلة أولى ثم سيتم تعميم العملية في مرحلة ثانية.","النتائج المتوقعة  
                                 قيمة مضافة للبلاد التونسية  
تحقيق إيرادات هامة متأتية من التصدير 
خلق أكثر من ا100 موطن شغل 
تحكم أفضل في مسالك التوزيع 
تتبع السلع للحد من التجارة الموازية","الجهة المالية   
                                 تمويل عام: 4,35 مليون دينار على 5 سنوات 
تمويل خاص: 1 مليون دينار على 4 سنوات",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/148-ERP.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/148-ERP.jpg', 'path': 'full/0c1d334555bd1c7803478860f03732d395f94c61.jpg', 'checksum': '2f3540a389bec3c457484ad90184ad7c'}]"
4089,محطة التطهير بقابس,http://tunisia2020.com/ar/projet/%d9%85%d8%ad%d8%b7%d8%a9-%d8%a7%d9%84%d8%aa%d8%b7%d9%87%d9%8a%d8%b1-%d8%a8%d9%82%d8%a7%d8%a8%d8%b3/," 
 الديوان الوطني للتطهير",الصرف الصحي,شراكة عام خاص,24,60,قابس,"معلومات أساسية  
                                 تعد مدينة قابس حوالي 180 الف ساكنا وتبلغ نسبة الربط بشبكة التطهير بها حوالي 90% وتحتوي على محطة تطهير منذ سنة 1995 وقد كان  للتنمية الاجتماعية والاقتصادية التي تشهدها منطقة قابس الكبرى أثرها البنية الأساسية للتطهير حيث بلغت المحطة طاقة استغلالها القصوى مما تسبب في تراجع نوعية المياه المعالجة. 
ولتحسين جودة المياه المطهرة بمنطقة قابس الكبرى وإكسابها القدرة الكافية على تلبية الاحتياجات المستقبلية، يعتزم الديوان الوطني للتطهير  إنشاء محطة تطهير جديدة في إطار الشراكة مع القطاع الخاص.","الوصف  
                                 يهدف المشروع إلى إنشاء محطة تطهير جديدة بقابس. 
يشمل المشروع: 
تهذيب محطة الضخ الرئيسية SR4 بطاقة 360 ل/ث 
إنشاء محطة ضخ للتحويل SPTR بطاقة636 ل/ث وشبكة على امتداد 9 كم 
 إحداث محطة جديدة لمعالجة مياه الصرف الصحي مجهزة بمنشأة تهضيم الحمأة لاستغلالها في انتاج الطاقة الكهربائية والحرارية بطاقة استيعاب 21500 م3/اليوم و11500 كغ من التلوث العضوي","النتائج المتوقعة  
                                 الرفع في طاقة معالجة المياه المستعملة 
ابعاد محطة قابس من المنطقة الحضرية 
تحسين منشآت الحمأة وإعادة استعمال المياه المعالجة 
تحسين الظروف المعيشية للمواطنين والأمن البيئي الوطني.","الجهة المالية   
                                 سيتم إنجاز المشروع في إطار الشراكة بين القطاعين العام والخاص.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/151-Sebkha-Moknine.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/151-Sebkha-Moknine.jpg', 'path': 'full/626435b5c01360dd18d852e041cd95fcfbab0e69.jpg', 'checksum': 'b0b6e39cb2e7903bed3f157e65bba574'}]"
4087,Smart-Grid الشبكة الذكية للكهرباء والغاز,http://tunisia2020.com/ar/projet/smart-grid-%d8%a7%d9%84%d8%b4%d8%a8%d9%83%d8%a9-%d8%a7%d9%84%d8%b0%d9%83%d9%8a%d8%a9-%d9%84%d9%84%d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a1-%d9%88%d8%a7%d9%84%d8%ba%d8%a7%d8%b2/," 
 وزارة تكنولوجيا الاتّصال والاقتصاد الرّقمي",تكنولوجيا المعلومات,شراكة عام خاص,600,1500,"   أريانة, القصرين, القيروان, الكاف, المنستير, المهدية, باجة, بن عروس, بنزرت, تطاوين, توزر, تونس, جندوبة, زغوان, سليانة, سوسة, سيدي بوزيد, صفاقس, قابس, قبلي, قفصة, مدنين, منوبة, نابل","معلومات أساسية  
                                 تعد الشبكة الذكية حلا للحد من معدل الخسائر شبكة الكهرباء، تقليص الفواتير المتخلدة، الحد من الغش، الوصول إلى 30% من الطاقات المتجددة  وتوفير الخدمة الشاملة للمواطنين. 
الشبكة الذكية هي مشروع هيكلي يشمل تطوير النظام البيئي والاقتصادي والترفيع في مستوى تنافسية المجالات المتصلة به. 
تمكن هذه الشبكة من جعل تونس رائدة في القارة الافريقية وبالتالي تصدير تجربتها إلى الدول المجاورة. 
هذا المشروع هو نتاج لتفكير عدة سنوات ترجم عبر تجارب مختلفة من التكنولوجيا.","الوصف  
                                 يهدف الشروع في المرحلة الأولى إلى دراسة تفاضلية لعدة  تصورات تكنولوجية ممكنة، اختيار التصور الأنسب وتنفيذه وفق جدول زمني محدد مسبقا.","النتائج المتوقعة  
                                 جعل خدمات المشروع متاحة للمواطنين 
فترة الاسترجاع بـين 5 و 7 سنوات عن طريق الحد من الغش، ، تقليص الفواتير المتخلدة والحد من خسائر على مستوى شبكة الكهرباء والغاز 
خلق ألاف مواطن شغل  
تطوير الصادرات  
جعل تونس مركزا للتميز في الشبكة الذكية بأفريقيا مما يعزز صورة تونس كبلد رائد في الابتكار 
الوصول إلى 30% من الطاقات المتجددة","الجهة المالية   
                                 سيتم إنجاز هذا المشروع في إطار الشراكة بين القطاعين الخاص والعام.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/150-Smart-Grid.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/150-Smart-Grid.jpg', 'path': 'full/8f92af2d378023ff21b3d2301a12b2989162f340.jpg', 'checksum': '27a810206182c4170331135f04f9e3ca'}]"
4091,برنامج تطوير وتدعيم الطرقات داخل البلديات,http://tunisia2020.com/ar/projet/%d8%a8%d8%b1%d9%86%d8%a7%d9%85%d8%ac-%d8%aa%d8%b7%d9%88%d9%8a%d8%b1-%d9%88%d8%aa%d8%af%d8%b9%d9%8a%d9%85-%d8%a7%d9%84%d8%b7%d8%b1%d9%82%d8%a7%d8%aa-%d8%af%d8%a7%d8%ae%d9%84-%d8%a7%d9%84%d8%a8%d9%84/," 
 وزارة التجهيز والإسكان والتهيئة الترابية",النّقل,عامّ,280,700,"   أريانة, القصرين, القيروان, الكاف, المنستير, المهدية, باجة, بن عروس, بنزرت, تطاوين, توزر, تونس, جندوبة, زغوان, سليانة, سوسة, سيدي بوزيد, صفاقس, قابس, قبلي, قفصة, مدنين, منوبة, نابل","معلومات أساسية  
                                 ساهمت الصعوبات المالية التي مرت بها البلديات التونسية خلال السنوات الأخيرة في تدهور قدرتها على صيانة وتأهيل بنيتها التحتية الطرقية. 
ويهدف البرنامج المقترح إلى دعم المجهود البلدي في مجال صيانة شبكة الطرقات.","الوصف  
                                 يحتوي البرنامج على تأهيل 2100 كلم من الطرقات البلدية موزعة كالآتي :  
 1080 كلم بـ 72 بلدية كبرى (15 كلم من الطرقات  للبلدية) 
  480 كلم بـ 48 بلدية متوسطة (10 كلم من الطرقات للبلدية) 
540 كلم بـ 180 بلدية صغرى (3 كلم من الطرقات للبلدية) 
 
يتم تنفيذ البرنامج على قسطين :  
  
القسط الأول: 2017-2018: 220 م د  
القسط الثاني : 2017-2020: 480 م د","النتائج المتوقعة  
                                 تسهيل الوصول إلى المناطق السكنية  
تحسين تنقل الأشخاص والعربات مع توفير ظروف معيشية وأمنية أفضل","الجهة المالية   
                                 ينجز المشروع بتمويلات خارجية.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/09/23-Routes-classees.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/09/23-Routes-classees.jpg', 'path': 'full/1a9e797ed2334d26cd46442eea0040268614a0d1.jpg', 'checksum': 'c09cc4b280b8a3ec741ebab00b2effbf'}]"
4084,تطوير شبكة فضائية حول الأقمار الصناعية الدقيقة,http://tunisia2020.com/ar/projet/%d8%aa%d8%b7%d9%88%d9%8a%d8%b1-%d8%b4%d8%a8%d9%83%d8%a9-%d9%81%d8%b6%d8%a7%d8%a6%d9%8a%d8%a9-%d8%ad%d9%88%d9%84-%d8%a7%d9%84%d8%a3%d9%82%d9%85%d8%a7%d8%b1-%d8%a7%d9%84%d8%b5%d9%86%d8%a7%d8%b9%d9%8a/,"
 Telnet Holding &amp; Airbus Safran Launchers",الفضاء,شراكة عام خاص,48,120,"   أريانة, القصرين, القيروان, الكاف, المنستير, المهدية, باجة, بن عروس, بنزرت, تطاوين, توزر, تونس, جندوبة, زغوان, سليانة, سوسة, سيدي بوزيد, صفاقس, قابس, قبلي, قفصة, مدنين, منوبة, نابل","معلومات أساسية  
                                 منذ أمدٍ بعيد ومجال الفضاء كان حكرا على البلدان المُهيمنة على التقنيات العالية.  
تشهد صناعة الفضاء وأسواقها في هذه الآونة، بعضًا من التغيرات الكبيرة والتي تجعل هذه التقنيات سهلة المنال. تمخضت تلك التغيرات عن تهيئة الظروف المواتية والتي تتيح للفاعلين الجُدد، ليس فحسب تطوير تقنيات الفضاء، إنما أيضًا تصميم الأنظمة البيئية الكاملة، بدءًا من الخدمات المقدمة إلى المستخدم النهائي وصولًا إلى  تطوير الشبكات الفضائية (الجامعات، الأبحاث، إلخ...). 
وقد شهدت العديد من البلدان والشركات الصناعية هذه التطورات، وقاموا بالاستثمار بكثافة في سوق الأقمار الصناعية الدقيقة (حتى 50 كجم).  
تتوقع الدراسات أنه سيتعين إنتاج وإطلاق ما يربو على 4000 قمراً صناعياً دقيقاً إبان السنوات العشر القادمة. 
تعتبر شركة Airbus Safran Launchers رائدة في صناعة الفضاء الأوروبية وهي قادرةً على أن تكون الشريك المثالي  لتونس في تطوير هذا القطاع الجديد.","الوصف  
                                 يرتكز المشروع على دعم تطوير شبكة فضائية، من خلال تصميم وتنفيذ مركز لتجميع، دمج واختبار الأقمار الصناعية الدقيقة،  (AITC)* في إطار شراكة بين شركة Airbus Safran Launchers وشركة  Telnet والكيان الصناعي والجامعي التونسي. 
 
AITC*: مركز التجميع والدمج والاختبار","النتائج المتوقعة  
                                 خلق 100 موطن شغل مباشر وغير مباشر 
استقبال ما يقارب 100000 حريف سنويا  
تطوير قطاع المعالجة الاستشفائية  
التنمية الجهوية 
تصدير الخدمات الصحية","الجهة المالية   
                                 سيتم تمويل المشروع في إطار الشراكة بين القطاعين الخاص والعام.",,
4211,تسويق القطع الشـاغرة للبحث والاستكشاف,http://tunisia2020.com/ar/projet/%d8%aa%d8%b3%d9%88%d9%8a%d9%82-%d8%a7%d9%84%d9%82%d8%b7%d8%b9-%d8%a7%d9%84%d8%b4%d9%80%d8%a7%d8%ba%d8%b1%d8%a9-%d9%84%d9%84%d8%a8%d8%ad%d8%ab-%d9%88%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d9%83%d8%b4%d8%a7/,,الطاقة,"    خاصّ, شراكة عام خاص",0,0,,"معلومات أساسية  
                                 تواصل تونس عبر المؤسسة التونسية للأنشطة البترولية مجهوداتها لتجديد مخزوناتها من النفط والغاز وإحكام التصرّف فيها وتشجيع الشركات البترولية العالمية على الاستثمار في القطاع أساسا عبر: 
تشجيع التنقيب عن المواد الهيدروكربونية في تونس 
التصرّف في الموارد الوطنية البترولية  
تدعيم مردودية إنتاج البترول والغاز 
تقديم خدمات بترولية ذات جودة عالية (مخابر، مخرجات قاعدة البيانات الوطنية من النفط والغاز، دراسات جيوفيزيائية، دراسات الخزانات ...) 
التطوير والتدريب المستمرّ لمهارات الموارد البشرية العاملة في القطاع","الوصف  
                                 تطمح المؤسسة التونسية للأنشطة البترولية إلى ترويج 40 قطعة شاغرة للاستكشاف والبحث عن المحروقات. 
توفّر المؤسسة مجانا قاعدة بيانات متكاملة للشركات الرّاغبة في الحصول على رخص البحث مع الدعم الكامل للمؤسسة في توفير بيانات حول القطع المطلوبة من قبل المستثمر.","النتائج المتوقعة  
                                 إعادة تكوين الاحتياطيات الوطنية من النفط والغاز وتزويد السوق المحلية بالطاقة المطلوبة في أفضل الظروف المتعلّقة بالكلفة والأمن. 
تأمين مستقبل مستدام للطاقة المستخرجة في ضلّ حوكمة رشيدة وشفافة للقطاع","الجهة المالية   
                                 سيتمّ تمويل مشاريع الاستكشاف من قبل الشركات البترولية العالمية. 
سيتمّ تمويل مشاريع التطوير والاستغلال في إطار الشراكة بين المؤسسة التونسية للأنشطة البترولية وشركائها.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/128-permis-2.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/128-permis-2.jpg', 'path': 'full/bf9440dcb43ec85b873669896dbf00f8f427c9f3.jpg', 'checksum': 'f3eaa28ac58d8d6352c87df5427d5b5b'}]"
